,J TYPE,DEL TIME,HAZ,DRIVING_TIME,LOAD/DISCHARGE,LOAD/DISCHARGE CUSTOMER,DELIVER TO,co2 LBS
224,TRU,23:59,-1,767,CANNOCK-40FT,PENTALVER CANNOCK,SOUTH SHIELDS,1450.6656
225,MT,23:59,-1,767,CANNOCK,PENTALVER CANNOCK,SOUTH SHIELDS,1450.6656
226,EXP,1:00,-1,680,WASHINGTON,VANTEC EAST ILN EXPORTS,SOUTH SHIELDS,1191.24
227,IMP,2:30,-1,680,WASHINGTON,VANTEC KD IMPORTS,SOUTH SHIELDS,1191.24
228,PTP,11:00,-1,680,NOTTINGHAM,BOOTS NOTTINGHAM,SOUTH SHIELDS,1191.24
229,PTP,11:15,-1,680,NOTTINGHAM,BOOTS - D6 NORTH WAREHOUSE,SOUTH SHIELDS,1191.24
230,IMP,19:00,-1,680,STANLEY,GREENCROFT BOTTLING,SOUTH SHIELDS,1191.24
231,IMP,23:00,-1,680,STANLEY,GREENCROFT BOTTLING,SOUTH SHIELDS,1191.24
232,IMP,1:15,-1,581,WASHINGTON,VANTEC KD IMPORTS,SOUTH SHIELDS,1036.11408
233,EXP,2:00,-1,581,WASHINGTON,VANTEC EAST ILN EXPORTS,SOUTH SHIELDS,1036.11408
234,EXP,2:10,-1,581,WASHINGTON,VANTEC EAST ILN EXPORTS,SOUTH SHIELDS,1036.11408
235,PTP,13:00,-1,581,BRISTOL,NISBETS,SOUTH SHIELDS,1036.11408
236,IMP,2:00,-1,903,STANLEY,GREENCROFT BOTTLING,SOUTH SHIELDS,1712.47368
237,TRU,10:00,-1,903,BROOKENBY MARKET RASEN,CLASSIC FURNITURE,LEEDS,1712.47368
238,MT,13:00,-1,903,LEEDS,NORCON,SOUTH SHIELDS,1712.47368
239,TRU,23:59,-1,903,CANNOCK,PENTALVER CANNOCK,SOUTH SHIELDS,1712.47368
240,TRU,23:59,-1,903,CANNOCK,PENTALVER CANNOCK,SOUTH SHIELDS,1712.47368
241,PTP,4:30,-1,620,NEWTON AYCLIFFE,LIDL UK,SOUTH SHIELDS,1141.20792
242,EXP,9:00,-1,620,CRAMLINGTON,CMP PRODUCTS LIMITED,SOUTH SHIELDS,1141.20792
243,IMP,13:00,-1,620,STANLEY,GREENCROFT BOTTLING,SOUTH SHIELDS,1141.20792
244,IMP,16:00,-1,620,WASHINGTON,VANTEC KD IMPORTS,SOUTH SHIELDS,1141.20792
245,IMP,18:30,-1,620,WASHINGTON,VANTEC KD IMPORTS,SOUTH SHIELDS,1141.20792
246,IMP,20:55,-1,620,WASHINGTON,VANTEC KD IMPORTS,SOUTH SHIELDS,1141.20792
247,IMP,22:05,-1,620,WASHINGTON,VANTEC KD IMPORTS,SOUTH SHIELDS,1141.20792
248,PTP,6:15,-1,851,WORKSOP,WILKINSON,SOUTH SHIELDS,1764.3588000000002
249,TRU,23:59,-1,851,CANNOCK,PENTALVER CANNOCK,SOUTH SHIELDS,1764.3588000000002
250,TRU,23:59,-1,851,CANNOCK,PENTALVER CANNOCK,SOUTH SHIELDS,1764.3588000000002
251,MT,23:59,-1,851,CANNOCK,PENTALVER CANNOCK,SOUTH SHIELDS,1764.3588000000002
252,CUR,6:30,-1,766,EAGLESCLIFFE,TETLEY,SOUTH SHIELDS,1600.76184
253,CUR,6:31,-1,766,EAGLESCLIFFE,TETLEY,SOUTH SHIELDS,1600.76184
254,CUR,6:32,-1,766,EAGLESCLIFFE,TETLEY,SOUTH SHIELDS,1600.76184
255,CUR,9:30,-1,766,BIRTLEY,KOMATSU UK,SOUTH SHIELDS,1600.76184
256,CUR,15:00,-1,766,BIRTLEY,KOMATSU UK,SOUTH SHIELDS,1600.76184
257,TRU,23:59,-1,766,CANNOCK,PENTALVER CANNOCK,SOUTH SHIELDS,1600.76184
258,TRU,23:59,-1,766,CANNOCK,PENTALVER CANNOCK,SOUTH SHIELDS,1600.76184
259,MT,23:59,-1,766,CANNOCK,PENTALVER CANNOCK,SOUTH SHIELDS,1600.76184
260,EXP,7:00,-1,560,DARLINGTON,ALDI DARLINGTON,Leeds,1051.73256
261,IMP,7:00,-1,888,WASHINGTON,VANTEC KD IMPORTS,SOUTH SHIELDS,1536.43488
262,IMP,9:15,-1,888,WASHINGTON,VANTEC KD IMPORTS,SOUTH SHIELDS,1536.43488
263,EXP,10:45,-1,888,WASHINGTON,VANTEC EAST ILN EXPORTS,SOUTH SHIELDS,1536.43488
264,IMP,12:15,-1,888,WASHINGTON,VANTEC KD IMPORTS,SOUTH SHIELDS,1536.43488
265,TRU,23:59,-1,888,CANNOCK,PENTALVER CANNOCK,SOUTH SHIELDS,1536.43488
266,TRU,23:59,-1,888,CANNOCK,PENTALVER CANNOCK,SOUTH SHIELDS,1536.43488
267,MT,23:59,-1,888,CANNOCK,PENTALVER CANNOCK,SOUTH SHIELDS,1536.43488
268,CUR,7:00,-1,622,NORTH SHIELDS,FORMICA GROUP,SOUTH SHIELDS,1079.52816
269,PTP,8:30,-1,622,SOUTH SHIELDS,HARLOW PRINT,SOUTH SHIELDS,1079.52816
270,CUR,11:00,-1,622,BIRTLEY,KOMATSU UK,SOUTH SHIELDS,1079.52816
271,IMP,7:30,-1,408,FELLING,LANCHESTER WINES,SOUTH SHIELDS,751.27536
272,IMP,10:30,-1,408,FELLING,LANCHESTER WINES,SOUTH SHIELDS,751.27536
273,EXP,13:00,-1,408,DARLINGTON,ALDI DARLINGTON,Leeds,751.27536
274,IMP,8:00,-1,744,WASHINGTON,VANTEC KD IMPORTS,SOUTH SHIELDS,1359.0724800000005
275,EXP,10:00,17,744,GATESHEAD,INTERNATIONAL PAINT LTD,SOUTH SHIELDS,1359.0724800000005
276,IMP,12:00,-1,744,BOLDON,NIPPON EXPRESS WAREHOUSE,SOUTH SHIELDS,1359.0724800000005
277,EXP,14:00,17,744,GATESHEAD,INTERNATIONAL PAINT LTD,SOUTH SHIELDS,1359.0724800000005
278,TRU,23:59,-1,744,CANNOCK,PENTALVER CANNOCK,SOUTH SHIELDS,1359.0724800000005
279,TRU,23:59,-1,744,CANNOCK,PENTALVER CANNOCK,SOUTH SHIELDS,1359.0724800000005
280,MT,23:59,-1,744,CANNOCK,PENTALVER CANNOCK,SOUTH SHIELDS,1359.0724800000005
281,CUR,8:00,-1,738,JARROW,J BARBOUR & SONS,SOUTH SHIELDS,1385.01504
282,TRU,23:59,-1,738,CANNOCK,PENTALVER CANNOCK,SOUTH SHIELDS,1385.01504
