,J TYPE,DEL TIME,HAZ,DRIVING_TIME,LOAD/DISCHARGE,LOAD/DISCHARGE CUSTOMER,DELIVER TO,co2 LBS
60,CUR,18:00,-1,1001,BIRTLEY,KOMATSU UK,SOUTH SHIELDS,1794.00744
61,TRU,23:59,-1,1001,SHEFFIELD,NEWELL AND WRIGHT,SOUTH SHIELDS,1794.00744
62,TRU,23:59,-1,1001,SHEFFIELD,NEWELL AND WRIGHT,SOUTH SHIELDS,1794.00744
63,PTP,11:00,-1,555,BRISTOL,,SOUTH SHIELDS,1082.96952
64,PTP,13:00,-1,609,BRISTOL,,SOUTH SHIELDS,947.6976
65,EXP,0:00,-1,551,WASHINGTON,VANTEC EAST ILN EXPORTS,SOUTH SHIELDS,1027.37832
66,EXP,7:00,-1,551,DARLINGTON,ALDI DARLINGTON,Leeds,1027.37832
67,MT,10:30,-1,551,GATESHEAD,WARDLEY CONTAINER DEPOT,SOUTH SHIELDS,1027.37832
68,IMP,13:00,-1,551,BIRTLEY,KOMATSU UK,SOUTH SHIELDS,1027.37832
69,IMP,19:30,-1,551,WASHINGTON,VANTEC KD IMPORTS,SOUTH SHIELDS,1027.37832
70,IMP,21:00,-1,551,WASHINGTON,VANTEC KD IMPORTS,SOUTH SHIELDS,1027.37832
71,IMP,22:15,-1,551,WASHINGTON,VANTEC KD IMPORTS,SOUTH SHIELDS,1027.37832
72,IMP,23:15,-1,551,WASHINGTON,VANTEC KD IMPORTS,SOUTH SHIELDS,1027.37832
73,MT,0:00,-1,449,GATESHEAD,WARDLEY CONTAINER DEPOT,SOUTH SHIELDS,661.53528
74,IMP,7:00,-1,449,BIRTLEY,KOMATSU UK,SOUTH SHIELDS,661.53528
75,EXP,13:00,-1,449,DARLINGTON,ALDI DARLINGTON,Leeds,661.53528
76,MT,0:00,-1,427,GATESHEAD,WARDLEY CONTAINER DEPOT,SOUTH SHIELDS,715.5381600000001
77,IMP,6:30,-1,427,JARROW,J BARBOUR & SONS LTD,SOUTH SHIELDS,715.5381600000001
78,TRU,11:59,-1,427,COATBRIDGE-yes,FRASER HAULAGE,SOUTH SHIELDS,715.5381600000001
79,IMP,0:30,-1,398,WASHINGTON,VANTEC KD IMPORTS,SOUTH SHIELDS,745.98096
80,EXP,1:00,-1,398,WASHINGTON,VANTEC EAST ILN EXPORTS,SOUTH SHIELDS,745.98096
81,TRU,13:00,-1,398,WAKEFIELD-84,CARD FACTORY,LEEDS,745.98096
82,CUR,14:00,-1,398,EAGLESCLIFFE,TETLEY,SOUTH SHIELDS,745.98096
83,PTP,17:59,-1,398,PONTEFRACT,YORKSHIRE XDC,SOUTH SHIELDS,745.98096
84,IMP,19:25,-1,398,WASHINGTON,VANTEC KD IMPORTS,SOUTH SHIELDS,745.98096
85,IMP,21:55,17,398,WASHINGTON,VANTEC KD IMPORTS,SOUTH SHIELDS,745.98096
86,IMP,23:50,-1,398,WASHINGTON,VANTEC KD IMPORTS,SOUTH SHIELDS,745.98096
87,PTP,1:30,-1,600,TEESPORT,TESCO LIMITED (MIDDLESBROUGH),SOUTH SHIELDS,1184.3572800000002
88,IMP,8:00,-1,600,STOCKTON,LAST MILE LOGISTIC SOLUTIONS L,SOUTH SHIELDS,1184.3572800000002
89,IMP,13:00,-1,600,STOCKTON,LAST MILE LOGISTIC SOLUTIONS L,SOUTH SHIELDS,1184.3572800000002
90,IMP,2:00,-1,578,UNIT6 THE GROVE IND EST CONSET,GREENCROFT BOTTLING,SOUTH SHIELDS,1221.41808
91,TRU,8:00,-1,578,STOCKTON,PRESTON FARM,MIDDLESBROUGH,1221.41808
92,TRU,9:00,-1,578,STOCKTON,PRESTON FARM,MIDDLESBROUGH,1221.41808
93,IMP,14:00,-1,578,BIRTLEY,KOMATSU UK,SOUTH SHIELDS,1221.41808
94,CUR,17:00,-1,578,WALKER,WELLSTREAM / GE OIL & GAS,SOUTH SHIELDS,1221.41808
95,IMP,3:00,-1,432,STANLEY,GREENCROFT BOTTLING,SOUTH SHIELDS,793.10112
96,IMP,7:00,-1,432,SOUTH SHIELDS,SHED NO 20,SOUTH SHIELDS,793.10112
97,IMP,9:00,-1,432,SOUTH SHIELDS,SHED NO 20,SOUTH SHIELDS,793.10112
98,IMP,13:00,-1,432,GATESHEAD,WHISTL FULFILMENT (UNIT 1),SOUTH SHIELDS,793.10112
99,TRU,23:59,-1,432,CANNOCK-yes,PENTALVER CANNOCK,SOUTH SHIELDS,793.10112
100,TRU,23:59,-1,432,CANNOCK-yes,PENTALVER CANNOCK,SOUTH SHIELDS,793.10112
101,CUR,5:30,-1,283,EAGLESCLIFFE,TETLEY,SOUTH SHIELDS,710.5084800000001
102,CUR,5:31,-1,283,EAGLESCLIFFE,TETLEY,SOUTH SHIELDS,710.5084800000001
103,CUR,9:15,-1,283,EAGLESCLIFFE,TETLEY,SOUTH SHIELDS,710.5084800000001
104,CUR,11:58,-1,283,EAGLESCLIFFE,TETLEY,SOUTH SHIELDS,710.5084800000001
105,CUR,15:00,-1,283,BIRTLEY,KOMATSU UK,SOUTH SHIELDS,710.5084800000001
106,CUR,17:00,-1,283,BIRTLEY,KOMATSU UK,SOUTH SHIELDS,710.5084800000001
107,CUR,19:00,-1,283,BIRTLEY,KOMATSU UK,SOUTH SHIELDS,710.5084800000001
108,IMP,6:00,-1,269,BIRTLEY,KOMATSU UK,SOUTH SHIELDS,499.26192
109,EXP,8:00,-1,269,GATESHEAD,RIVERDALE PAPER,SOUTH SHIELDS,499.26192
110,IMP,11:00,-1,269,BIRTLEY,KOMATSU UK,SOUTH SHIELDS,499.26192
111,PTP,17:59,-1,269,PONTEFRACT,YORKSHIRE XDC,SOUTH SHIELDS,499.26192
112,CUR,21:00,-1,269,WALKER,WELLSTREAM / GE OIL & GAS,SOUTH SHIELDS,499.26192
113,CUR,6:30,-1,702,EAGLESCLIFFE,TETLEY,SOUTH SHIELDS,1200.5052
114,CUR,8:00,-1,702,BIRTLEY,KOMATSU UK,BIRTLEY,1200.5052
115,CUR,8:00,-1,702,BIRTLEY,KOMATSU UK,BIRTLEY,1200.5052
116,CUR,8:01,-1,702,BIRTLEY,KOMATSU UK,SOUTH SHIELDS,1200.5052
117,CUR,8:01,-1,702,BIRTLEY,KOMATSU UK,SOUTH SHIELDS,1200.5052
118,CUR,13:00,-1,702,BIRTLEY,KOMATSU UK,SOUTH SHIELDS,1200.5052
119,TRU,23:59,-1,702,CANNOCK-yes,PENTALVER CANNOCK,SOUTH SHIELDS,1200.5052
120,TRU,23:59,-1,702,CANNOCK-yes,PENTALVER CANNOCK,SOUTH SHIELDS,1200.5052
121,IMP,8:00,-1,629,NORTH SHIELDS,SPICERS,SOUTH SHIELDS,1066.02744
122,IMP,10:30,-1,629,WASHINGTON,VANTEC KD IMPORTS,SOUTH SHIELDS,1066.02744
123,IMP,11:00,-1,629,GATESHEAD,WHISTL FULFILMENT (UNIT 1),SOUTH SHIELDS,1066.02744
124,IMP,15:00,-1,629,WASHINGTON,VANTEC KD IMPORTS,SOUTH SHIELDS,1066.02744
125,TRU,23:59,-1,629,CANNOCK-yes,PENTALVER CANNOCK,SOUTH SHIELDS,1066.02744
126,TRU,23:59,-1,629,CANNOCK-yes,PENTALVER CANNOCK,SOUTH SHIELDS,1066.02744
127,PTP,8:40,-1,450,GATESHEAD,QUAYSIDE FROZEN FOODS,SOUTH SHIELDS,652.27008
128,CUR,11:00,-1,450,GATESHEAD,CYBERPOWER UK,SOUTH SHIELDS,652.27008
129,TRU,23:59,-1,450,CANNOCK-yes,PENTALVER CANNOCK,SOUTH SHIELDS,652.27008
130,TRU,23:59,-1,450,CANNOCK-yes,PENTALVER CANNOCK,SOUTH SHIELDS,652.27008
131,PTP,10:00,-1,479,LIVINGTSTON,ICELAND LIVINGSTONE DEPOT,SOUTH SHIELDS,812.16096
132,TRU,23:59,-1,479,CANNOCK-yes,PENTALVER CANNOCK,SOUTH SHIELDS,812.16096
133,TRU,23:59,-1,479,CANNOCK-yes,PENTALVER CANNOCK,SOUTH SHIELDS,812.16096
134,PTP,13:00,-1,340,BRISTOL,,SOUTH SHIELDS,457.70088
135,PTP,20:00,-1,494,WASHINGTON,ASDA ADC WASHINGTON,SOUTH SHIELDS,640.6224
136,TRU,23:59,-1,494,CANNOCK-yes,PENTALVER CANNOCK,SOUTH SHIELDS,640.6224
137,TRU,23:59,-1,494,CANNOCK-yes,PENTALVER CANNOCK,SOUTH SHIELDS,640.6224
138,TRU,23:59,-1,456,CANNOCK-yes,PENTALVER CANNOCK,SOUTH SHIELDS,882.04704
139,TRU,23:59,-1,456,CANNOCK-yes,PENTALVER CANNOCK,SOUTH SHIELDS,882.04704
140,TRU,23:59,-1,456,CANNOCK-yes,PENTALVER CANNOCK,SOUTH SHIELDS,882.04704
141,TRU,23:59,-1,456,CANNOCK-yes,PENTALVER CANNOCK,SOUTH SHIELDS,882.04704
142,IMP,0:00,17,487,WASHINGTON,VANTEC KD IMPORTS,SOUTH SHIELDS,686.1542400000001
143,IMP,0:20,-1,487,WASHINGTON,VANTEC KD IMPORTS,SOUTH SHIELDS,686.1542400000001
144,CUR,6:30,-1,487,EAGLESCLIFFE,TETLEY,SOUTH SHIELDS,686.1542400000001
145,CUR,6:31,-1,487,EAGLESCLIFFE,TETLEY,SOUTH SHIELDS,686.1542400000001
146,CUR,6:31,-1,487,EAGLESCLIFFE,TETLEY,SOUTH SHIELDS,686.1542400000001
147,IMP,11:00,-1,487,NEWCASTLE UPON TYNE,RUSKIM SEAFOODS LTD,SOUTH SHIELDS,686.1542400000001
148,IMP,13:00,-1,487,NEWCASTLE UPON TYNE,RUSKIM SEAFOODS LTD,SOUTH SHIELDS,686.1542400000001
149,IMP,20:00,-1,487,WASHINGTON,VANTEC KD IMPORTS,SOUTH SHIELDS,686.1542400000001
150,EXP,21:35,-1,487,WASHINGTON,VANTEC EAST ILN EXPORTS,SOUTH SHIELDS,686.1542400000001
151,IMP,0:00,-1,332,WASHINGTON,VANTEC KD IMPORTS,SOUTH SHIELDS,406.87464
152,IMP,12:00,-1,332,STANLEY,GREENCROFT BOTTLING,SOUTH SHIELDS,406.87464
153,IMP,18:00,-1,332,STANLEY,GREENCROFT BOTTLING,SOUTH SHIELDS,406.87464
154,IMP,22:00,-1,332,STANLEY,GREENCROFT BOTTLING,SOUTH SHIELDS,406.87464
155,IMP,0:00,-1,388,WASHINGTON,VANTEC KD IMPORTS,SOUTH SHIELDS,695.94888
156,CUR,5:30,-1,388,EAGLESCLIFFE,TETLEY,SOUTH SHIELDS,695.94888
157,CUR,5:31,-1,388,EAGLESCLIFFE,TETLEY,SOUTH SHIELDS,695.94888
158,CUR,9:15,-1,388,EAGLESCLIFFE,TETLEY,SOUTH SHIELDS,695.94888
159,CUR,9:16,-1,388,EAGLESCLIFFE,TETLEY,SOUTH SHIELDS,695.94888
160,EXP,15:30,-1,388,WASHINGTON,VANTEC EAST ILN EXPORTS,SOUTH SHIELDS,695.94888
161,IMP,18:00,-1,388,BIRTLEY,KOMATSU UK,SOUTH SHIELDS,695.94888
162,IMP,21:10,-1,388,WASHINGTON,VANTEC KD IMPORTS,SOUTH SHIELDS,695.94888
163,MT,0:00,-1,502,LEEDS,NORCON,SOUTH SHIELDS,862.9872
164,MT,0:00,-1,502,CANNOCK,PENTALVER CANNOCK,SOUTH SHIELDS,862.9872
165,TRU,10:00,-1,502,BROOKENBY MARKET RASEN,CLASSIC FURNITURE,LEEDS,862.9872
