LOAD/DISCHARGE,COLLECT FROM,LOAD/DISCHARGE CUSTOMER,DELIVER TO,COLLECT/DELIVER,MILES
MIDDLESBROUGH,SOUTH SHIELDS,CLEVELAND CONTAINERS,SOUTH SHIELDS,SOUTH SHIELDS - SOUTH SHIELDS,424.82
NEWCASTLE UPON TYNE,SOUTH SHIELDS,Murray Hogg,SOUTH SHIELDS,SOUTH SHIELDS - SOUTH SHIELDS,320.49
NEWCASTLE UPON TYNE,SOUTH SHIELDS,RUSKIM SEAFOODS LTD,SOUTH SHIELDS,SOUTH SHIELDS - SOUTH SHIELDS,193.47
NEWTON AYCLIFFE,PRESTON,LIDL UK,SOUTH SHIELDS,PRESTON - SOUTH SHIELDS,315.24
NORTH SHIELDS,SOUTH SHIELDS,FORMICA GROUP,SOUTH SHIELDS,SOUTH SHIELDS - SOUTH SHIELDS,437.19
NORTH SHIELDS,SOUTH SHIELDS,SPICERS,SOUTH SHIELDS,SOUTH SHIELDS - SOUTH SHIELDS,372.11
NOTTINGHAM,NOTTINGHAM,BOOTS - D6 NORTH WAREHOUSE,SOUTH SHIELDS,NOTTINGHAM - SOUTH SHIELDS,429.61
NOTTINGHAM,SOUTH SHIELDS,BOOTS NOTTINGHAM,SOUTH SHIELDS,SOUTH SHIELDS - SOUTH SHIELDS,429.61
OLDBURY,OLDBURY,CENTRAL CONTAINER SERVICES LTD,SOUTH SHIELDS,OLDBURY - SOUTH SHIELDS,591.82
PETERBOROUGH,SOUTH SHIELDS,ANGLIA HOME FURNISHINGS,LEEDS,SOUTH SHIELDS - LEEDS,603.28
PETERLEE,SOUTH SHIELDS,NSK BEARINGS EUROPE LTD,SOUTH SHIELDS,SOUTH SHIELDS - SOUTH SHIELDS,288.06
PONTEFRACT,SOUTH SHIELDS,YORKSHIRE XDC,SOUTH SHIELDS,SOUTH SHIELDS - SOUTH SHIELDS,265.89
RUFFORTH,SOUTH SHIELDS,HAREWOOD WHIN,SOUTH SHIELDS,SOUTH SHIELDS - SOUTH SHIELDS,431.18
SHEFFIELD,SOUTH SHIELDS,NEWELL AND WRIGHT,SOUTH SHIELDS,SOUTH SHIELDS - SOUTH SHIELDS,489.6866667
SOUTH KIRKBY,LONGBENTON,RINGTONS,SOUTH SHIELDS,LONGBENTON - SOUTH SHIELDS,385.21
SOUTH SHIELDS,SOUTH SHIELDS,HARLOW PRINT,SOUTH SHIELDS,SOUTH SHIELDS - SOUTH SHIELDS,463.58
SOUTH SHIELDS,SOUTH SHIELDS,SHED NO 20,SOUTH SHIELDS,SOUTH SHIELDS - SOUTH SHIELDS,270.5233333
STANLEY,SOUTH SHIELDS,GREENCROFT BOTTLING,SOUTH SHIELDS,SOUTH SHIELDS - SOUTH SHIELDS,296.570625
STOCKTON,SOUTH SHIELDS,LAST MILE LOGISTIC SOLUTIONS L,SOUTH SHIELDS,SOUTH SHIELDS - SOUTH SHIELDS,366.37
STOCKTON,SOUTH SHIELDS,PRESTON FARM,MIDDLESBROUGH,SOUTH SHIELDS - MIDDLESBROUGH,384.44
STOCKTON/BIRTLEY,CFX BRANSTON TRADE TEAM,BATLEYS CASH& CARRY STOCKTON /,SOUTH SHIELDS,CFX BRANSTON TRADE TEAM - SOUTH SHIELDS,305.64
SUNDERLAND,SOUTH SHIELDS,THE BATTERY PLANT (NOT VANTEC),SOUTH SHIELDS,SOUTH SHIELDS - SOUTH SHIELDS,256.016
TEESPORT,SMETHWICK,TESCO LIMITED (MIDDLESBROUGH),SOUTH SHIELDS,SMETHWICK - SOUTH SHIELDS,8.88
TEESPORT,SOUTH SHIELDS,TESCO LIMITED (MIDDLESBROUGH),SOUTH SHIELDS,SOUTH SHIELDS - SOUTH SHIELDS,366.37
TEESPORT,TEESPORT,TEESPORT,SOUTH SHIELDS,TEESPORT - SOUTH SHIELDS,424.82
UNIT6 THE GROVE IND EST CONSET,SOUTH SHIELDS,GREENCROFT BOTTLING,SOUTH SHIELDS,SOUTH SHIELDS - SOUTH SHIELDS,335.9233333
WAKEFIELD-84,SOUTH SHIELDS,CARD FACTORY,LEEDS,SOUTH SHIELDS - LEEDS,295.51
WALKER,SOUTH SHIELDS,WELLSTREAM / GE OIL & GAS,SOUTH SHIELDS,SOUTH SHIELDS - SOUTH SHIELDS,363.7716667
WALKER,WALKER,WELLSTREAM / GE OIL & GAS,SOUTH SHIELDS,WALKER - SOUTH SHIELDS,454.08
WASHINGTON,CANNOCK,ASDA ADC WASHINGTON,SOUTH SHIELDS,CANNOCK - SOUTH SHIELDS,295.34
WASHINGTON,RUGBY,ASDA ADC WASHINGTON,SOUTH SHIELDS,RUGBY - SOUTH SHIELDS,313.75
WASHINGTON,SOUTH SHIELDS,MARELLI UK LTD,SOUTH SHIELDS,SOUTH SHIELDS - SOUTH SHIELDS,439.29
WASHINGTON,SOUTH SHIELDS,SMITHERS OASIS UK LTD,SOUTH SHIELDS,SOUTH SHIELDS - SOUTH SHIELDS,369.61
WASHINGTON,SOUTH SHIELDS,VANTEC EAST ILN EXPORTS,SOUTH SHIELDS,SOUTH SHIELDS - SOUTH SHIELDS,367.501
WASHINGTON,SOUTH SHIELDS,VANTEC EUROPE LTD,SOUTH SHIELDS,SOUTH SHIELDS - SOUTH SHIELDS,338.27
WASHINGTON,SOUTH SHIELDS,VANTEC KD IMPORTS,SOUTH SHIELDS,SOUTH SHIELDS - SOUTH SHIELDS,367.8312245
WORKINGTON,SOUTH SHIELDS,GERALD SHOTTON WORKINGTON,LEEDS,SOUTH SHIELDS - LEEDS,452.68
WORKSOP,SOUTH SHIELDS,WILKINSON,SOUTH SHIELDS,SOUTH SHIELDS - SOUTH SHIELDS,628.794
